,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff
9823,gold,14 Бриллиант Кр-57-0.07ct-2/5А. 6 Бриллиант Кр-57-0.08ct-2/5А. 1 Бриллиант Кр-57-0.03ct-2/5А.,1.32,16.5,0,585,decorative,1122.99
9824,silver,None,5.61,22.5,0,925,pechatki,441.96
9825,silver,None,5.63,22.0,0,925,pechatki,443.53
9826,silver,None,5.39,22.0,0,925,pechatki,424.62
9827,silver,None,5.11,20.5,1,925,pechatki,402.62
9828,silver,None,5.45,23.0,1,925,pechatki,429.35
9829,silver,None,5.75,21.0,0,925,pechatki,452.99
9830,silver,None,5.06,22.0,0,925,pechatki,398.63
9831,gold,"6 Бр Круг 57 0,268 3/6А",2.29,17.5,0,585,decorative,2038.28
9832,gold,"6 Бр Круг 57 0,268 3/6А",2.37,17.5,0,585,decorative,2078.21
9833,gold,None,3.27,18.5,0,585,pechatki,1267.35
9834,gold,"1 Цирконий кр 0,90 0,00",1.33,15.5,0,585,decorative,636.34
9835,gold,"1 Бр Круг 57 0,110 3/6А; 2 Бр Круг 57 0,075 3/6А",1.16,17.5,0,585,decorative,1314.18
9836,gold,None,1.15,16.5,0,585,decorative,678.88
9838,gold,"1 Бр Кр 57 3/6А 0,03ct",1.05,17.5,0,585,engagement,632.59
9839,silver,"1 Аметист Овал 10*8; 18 Фианит Кр 1,5",2.7,17.5,0,925,decorative,805.92
9840,silver,None,1.83,15.5,0,925,decorative,341.92
9841,silver,None,1.89,18.0,1,925,decorative,505.97
9844,silver,"1 Топаз Лондон Овал 7*5; 2 Фианит б/ц Круг 1,25; 20 Фианит б/ц Круг 1",1.84,18.5,0,925,decorative,212.85
9845,gold,None,4.34,20.5,0,585,pechatki,2078.3
9846,gold,None,4.35,21.5,0,585,pechatki,2083.08
9847,gold,None,4.37,22.5,0,585,pechatki,3113.23
9848,gold,None,4.44,22.5,0,585,pechatki,3163.1
9849,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.88,18.5,0,925,decorative,341.92
9850,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.91,18.5,0,925,decorative,341.91
9851,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.8,16.0,0,925,decorative,87.35
9852,silver,"1 фианит Круг 6,0=1,46; 16 Фианит круг 1,0=0,128",1.79,16.5,0,925,decorative,113.04
