,id,matter,weight,size,is_defect,platemark,type,price_before_takeoff
319,П7412-001К14,gold,1.77,15.0,0,585,wedding,1011.43
320,П7412-001К14,gold,1.71,15.5,0,585,wedding,977.15
321,П7412-001К14,gold,2.07,18.0,0,585,wedding,1182.86
322,П7412-001К14,gold,2.07,18.0,0,585,wedding,1182.86
323,П7412-001К14,gold,1.87,16.0,0,585,wedding,1068.57
324,П7412-001К14,gold,1.87,16.0,0,585,wedding,1068.57
325,П7412-001К14,gold,1.87,16.0,0,585,wedding,1068.57
326,П7412-001К14,gold,1.87,16.0,0,585,wedding,1068.57
327,П7412-001К14,gold,2.06,16.5,0,585,wedding,1177.15
328,П7412-001К14,gold,1.96,17.0,0,585,wedding,1120.0
329,П7412-001К14,gold,2.03,18.0,0,585,wedding,1160.0
330,П7412-001К14,gold,2.1,16.5,0,585,wedding,1200.0
331,П7412-001К14,gold,1.87,17.5,0,585,wedding,1068.57
332,П7412-001К14,gold,2.12,17.5,0,585,wedding,1211.43
333,П7412-001К14,gold,2.12,17.5,0,585,wedding,1211.43
334,П7412-001К14,gold,2.21,17.5,0,585,wedding,1262.86
335,П7412-001К14,gold,2.21,17.5,0,585,wedding,1262.86
336,П7412-001К14,gold,1.72,15.5,0,585,wedding,982.86
337,П7412-001К14,gold,1.72,15.5,0,585,wedding,982.86
338,П7412-001К14,gold,1.72,15.5,0,585,wedding,982.86
339,П7412-001К14,gold,1.72,15.5,0,585,wedding,982.86
340,П7412-001К14,gold,2.25,17.5,0,585,wedding,1285.72
341,П7412-001К14,gold,1.82,16.0,0,585,wedding,1040.0
342,П7412-001К14,gold,2.16,18.0,0,585,wedding,1234.29
343,П7412-001К14,gold,2.25,18.0,0,585,wedding,1285.72
344,П7412-001К14,gold,2.14,17.0,0,585,wedding,1222.86
345,П7412-001К14,gold,2.1,17.5,0,585,wedding,1200.0
346,П7412-001К14,gold,2.1,17.5,0,585,wedding,1200.0
347,П7412-001К14,gold,2.1,17.5,0,585,wedding,1200.0
348,П7412-001К14,gold,2.16,17.5,0,585,wedding,1234.29
349,П7412-001К14,gold,2.07,17.5,0,585,wedding,1182.86
350,П7412-001К14,gold,2.12,18.0,0,585,wedding,1211.43
351,П7412-001К14,gold,2.17,17.0,0,585,wedding,1240.0
352,П7412-001К14,gold,1.54,15.5,0,585,wedding,880.0
353,П7412-001К14,gold,1.61,15.5,0,585,wedding,920.0
354,П7412-001К14,gold,1.61,15.5,0,585,wedding,920.0
355,П7412-001К14,gold,1.62,15.5,0,585,wedding,925.72
356,П7412-001К14,gold,1.62,15.5,0,585,wedding,925.72
357,П7412-001К14,gold,1.69,17.0,0,585,wedding,965.72
358,П7412-001К14,gold,1.69,17.0,0,585,wedding,965.72
359,П7412-001К14,gold,1.69,17.0,0,585,wedding,965.72
360,П7412-001К14,gold,1.72,15.5,0,585,wedding,982.86
361,П7412-001К14,gold,1.76,16.0,0,585,wedding,1005.72
362,П7412-001К14,gold,1.76,17.0,0,585,wedding,1005.72
363,П7412-001К14,gold,1.77,16.0,0,585,wedding,1011.43
364,П7412-001К14,gold,1.79,17.0,0,585,wedding,1022.86
365,П7412-001К14,gold,1.87,15.0,0,585,wedding,1068.57
366,П7412-001К14,gold,1.9,17.0,0,585,wedding,1085.72
367,П7412-001К14,gold,1.91,15.0,0,585,wedding,1091.43
368,П7412-001К14,gold,1.94,16.5,0,585,wedding,1108.57
369,П7412-001К14,gold,1.95,17.0,0,585,wedding,1114.29
370,П7412-001К14,gold,1.96,16.5,0,585,wedding,1120.0
371,П7412-001К14,gold,1.96,16.5,0,585,wedding,1120.0
372,П7412-001К14,gold,1.96,17.0,0,585,wedding,1120.0
373,П7412-001К14,gold,1.97,15.0,0,585,wedding,1125.72
374,П7412-001К14,gold,1.99,17.5,0,585,wedding,1137.15
375,П7412-001К14,gold,2.03,16.5,0,585,wedding,1160.0
376,П7412-001К14,gold,2.04,17.5,0,585,wedding,1165.72
377,П7412-001К14,gold,2.04,17.5,0,585,wedding,1165.72
378,П7412-001К14,gold,2.04,17.5,0,585,wedding,1165.72
379,П7412-001К14,gold,2.06,16.5,0,585,wedding,1177.15
380,П7412-001К14,gold,2.06,16.5,0,585,wedding,1177.15
381,П7412-001К14,gold,2.06,16.5,0,585,wedding,1177.15
382,П7412-001К14,gold,2.07,17.5,0,585,wedding,1182.86
383,П7412-001К14,gold,2.08,16.5,0,585,wedding,1188.57
384,П7412-001К14,gold,2.08,16.5,0,585,wedding,1188.57
385,П7412-001К14,gold,2.08,17.5,0,585,wedding,1188.57
386,П7412-001К14,gold,2.08,17.5,0,585,wedding,1188.57
387,П7412-001К14,gold,2.09,16.5,0,585,wedding,1194.29
388,П7412-001К14,gold,2.09,16.5,0,585,wedding,1194.29
389,П7412-001К14,gold,2.09,18.0,0,585,wedding,1194.29
390,П7412-001К14,gold,2.12,16.5,0,585,wedding,1211.43
391,П7412-001К14,gold,2.12,16.5,0,585,wedding,1211.43
392,П7412-001К14,gold,2.12,17.5,0,585,wedding,1211.43
393,П7412-001К14,gold,2.12,17.5,0,585,wedding,1211.43
394,П7412-001К14,gold,2.12,18.0,0,585,wedding,1211.43
395,П7412-001К14,gold,2.12,18.0,0,585,wedding,1211.43
396,П7412-001К14,gold,2.12,18.0,0,585,wedding,1211.43
397,П7412-001К14,gold,2.15,18.0,0,585,wedding,1228.57
398,П7412-001К14,gold,2.15,18.0,0,585,wedding,1228.57
399,П7412-001К14,gold,2.15,18.0,0,585,wedding,1228.57
400,П7412-001К14,gold,2.15,18.0,0,585,wedding,1228.57
401,П7412-001К14,gold,2.17,18.0,0,585,wedding,1240.0
402,П7412-001К14,gold,2.17,18.0,0,585,wedding,1240.0
403,П7412-001К14,gold,2.17,18.0,0,585,wedding,1240.0
404,П7412-001К14,gold,2.17,18.0,0,585,wedding,1240.0
405,П7412-001К14,gold,2.26,18.5,0,585,wedding,1291.43
406,П7412-001К14,gold,2.35,19.5,0,585,wedding,1342.86
407,П7412-001К14,gold,2.39,19.5,0,585,wedding,1365.72
408,П7412-001К14,gold,2.41,20.0,0,585,wedding,1377.15
409,П7412-001К14,gold,2.58,20.5,0,585,wedding,1474.29
410,П7412-001К14,gold,2.62,21.0,0,585,wedding,1497.15
411,П7412-001К14,gold,2.65,20.5,0,585,wedding,1514.29
412,П7412-001К14,gold,2.67,21.0,0,585,wedding,1525.72
413,П7412-001К14,gold,1.75,17.0,0,585,wedding,1000.0
414,П7412-001К14,gold,1.78,17.0,0,585,wedding,1017.15
415,П7412-001К14,gold,1.81,17.0,0,585,wedding,1034.29
416,П7412-001К14,gold,1.81,17.0,0,585,wedding,1034.29
417,П7412-001К14,gold,1.85,17.0,0,585,wedding,1057.15
418,П7412-001К14,gold,1.88,17.0,0,585,wedding,1074.29
419,П7412-001К14,gold,1.9,17.0,0,585,wedding,1085.72
420,П7412-001К14,gold,1.92,16.5,0,585,wedding,1097.15
421,П7412-001К14,gold,1.92,17.0,0,585,wedding,1097.15
422,П7412-001К14,gold,1.93,16.5,0,585,wedding,1102.86
423,П7412-001К14,gold,1.93,16.5,0,585,wedding,1102.86
424,П7412-001К14,gold,1.93,17.5,0,585,wedding,1102.86
425,П7412-001К14,gold,1.94,16.5,0,585,wedding,1108.57
426,П7412-001К14,gold,1.94,17.0,0,585,wedding,1108.57
427,П7412-001К14,gold,1.94,17.0,0,585,wedding,1108.57
