артикул;материал;вес;размер;есть_дефект;проба;тип;цена_до_скидки
П7412-001К14;Золото;1.88;16;0;585;obruchalnye;1074.29
П7412-001К14;Золото;1.88;16;0;585;obruchalnye;966.87
П7412-001К14;Золото;1.95;16;0;585;obruchalnye;1114.29
П7412-001К14;Золото;1.78;15,5;0;585;obruchalnye;991.71
П7412-001К14;Золото;2.1;17;0;585;obruchalnye;1200
П7412-001К14;Золото;1.66;15,5;0;585;obruchalnye;948.57
П7412-001К14;Золото;2.19;18;0;585;obruchalnye;1251.43
П7412-001К14;Золото;2.19;18;0;585;obruchalnye;1251.43
П7412-001К14;Золото;1.83;15;0;585;obruchalnye;891.47
П7412-001К14;Золото;1.72;15;0;585;obruchalnye;864.9
П7412-001К14;Золото;1.45;15,5;0;585;obruchalnye;745.72
П7412-001К14;Золото;1.69;15;0;585;obruchalnye;893.28
П7412-001К14;Золото;1.53;15,5;0;585;obruchalnye;874.29
П7412-001К14;Золото;2.09;16,5;0;585;obruchalnye;1194.29
П7412-001К14;Золото;2.28;18;0;585;obruchalnye;1302.86
П7412-001К14;Золото;2.28;18;0;585;obruchalnye;1302.86
П7412-001К14;Золото;2.05;17,5;0;585;obruchalnye;1171.43
П7412-001К14;Золото;1.73;18;0;585;obruchalnye;988.57
П7412-001К14;Золото;1.71;15;0;585;obruchalnye;977.15
П7412-001К14;Золото;1.74;15,5;0;585;obruchalnye;994.29
П7412-001К14;Золото;1.77;15;0;585;obruchalnye;1011.43
П7412-001К14;Золото;1.71;15,5;0;585;obruchalnye;977.15
П7412-001К14;Золото;2.07;18;0;585;obruchalnye;1182.86
П7412-001К14;Золото;2.07;18;0;585;obruchalnye;1182.86
П7412-001К14;Золото;1.87;16;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.87;16;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.87;16;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.87;16;0;585;obruchalnye;1068.57
П7412-001К14;Золото;2.06;16,5;0;585;obruchalnye;1177.15
П7412-001К14;Золото;1.96;17;0;585;obruchalnye;1120
П7412-001К14;Золото;2.03;18;0;585;obruchalnye;1160
П7412-001К14;Золото;2.1;16,5;0;585;obruchalnye;1200
П7412-001К14;Золото;1.87;17,5;0;585;obruchalnye;1068.57
П7412-001К14;Золото;2.12;17,5;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;17,5;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.21;17,5;0;585;obruchalnye;1262.86
П7412-001К14;Золото;2.21;17,5;0;585;obruchalnye;1262.86
П7412-001К14;Золото;1.72;15,5;0;585;obruchalnye;982.86
П7412-001К14;Золото;1.72;15,5;0;585;obruchalnye;982.86
П7412-001К14;Золото;1.72;15,5;0;585;obruchalnye;982.86
П7412-001К14;Золото;1.72;15,5;0;585;obruchalnye;982.86
П7412-001К14;Золото;2.25;17,5;0;585;obruchalnye;1285.72
П7412-001К14;Золото;1.82;16;0;585;obruchalnye;1040
П7412-001К14;Золото;2.16;18;0;585;obruchalnye;1234.29
П7412-001К14;Золото;2.25;18;0;585;obruchalnye;1285.72
П7412-001К14;Золото;2.14;17;0;585;obruchalnye;1222.86
П7412-001К14;Золото;2.1;17,5;0;585;obruchalnye;1200
П7412-001К14;Золото;2.1;17,5;0;585;obruchalnye;1200
П7412-001К14;Золото;2.1;17,5;0;585;obruchalnye;1200
П7412-001К14;Золото;2.16;17,5;0;585;obruchalnye;1234.29
П7412-001К14;Золото;2.07;17,5;0;585;obruchalnye;1182.86
П7412-001К14;Золото;2.12;18;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.17;17;0;585;obruchalnye;1240
П7412-001К14;Золото;1.54;15,5;0;585;obruchalnye;880
П7412-001К14;Золото;1.61;15,5;0;585;obruchalnye;920
П7412-001К14;Золото;1.61;15,5;0;585;obruchalnye;920
П7412-001К14;Золото;1.62;15,5;0;585;obruchalnye;925.72
П7412-001К14;Золото;1.62;15,5;0;585;obruchalnye;925.72
П7412-001К14;Золото;1.69;17;0;585;obruchalnye;965.72
П7412-001К14;Золото;1.69;17;0;585;obruchalnye;965.72
П7412-001К14;Золото;1.69;17;0;585;obruchalnye;965.72
П7412-001К14;Золото;1.72;15,5;0;585;obruchalnye;982.86
П7412-001К14;Золото;1.76;16;0;585;obruchalnye;1005.72
П7412-001К14;Золото;1.76;17;0;585;obruchalnye;1005.72
П7412-001К14;Золото;1.77;16;0;585;obruchalnye;1011.43
П7412-001К14;Золото;1.79;17;0;585;obruchalnye;1022.86
П7412-001К14;Золото;1.87;15;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.9;17;0;585;obruchalnye;1085.72
П7412-001К14;Золото;1.91;15;0;585;obruchalnye;1091.43
П7412-001К14;Золото;1.94;16,5;0;585;obruchalnye;1108.57
П7412-001К14;Золото;1.95;17;0;585;obruchalnye;1114.29
П7412-001К14;Золото;1.96;16,5;0;585;obruchalnye;1120
П7412-001К14;Золото;1.96;16,5;0;585;obruchalnye;1120
П7412-001К14;Золото;1.96;17;0;585;obruchalnye;1120
П7412-001К14;Золото;1.97;15;0;585;obruchalnye;1125.72
П7412-001К14;Золото;1.99;17,5;0;585;obruchalnye;1137.15
П7412-001К14;Золото;2.03;16,5;0;585;obruchalnye;1160
П7412-001К14;Золото;2.04;17,5;0;585;obruchalnye;1165.72
П7412-001К14;Золото;2.04;17,5;0;585;obruchalnye;1165.72
П7412-001К14;Золото;2.04;17,5;0;585;obruchalnye;1165.72
П7412-001К14;Золото;2.06;16,5;0;585;obruchalnye;1177.15
П7412-001К14;Золото;2.06;16,5;0;585;obruchalnye;1177.15
П7412-001К14;Золото;2.06;16,5;0;585;obruchalnye;1177.15
П7412-001К14;Золото;2.07;17,5;0;585;obruchalnye;1182.86
П7412-001К14;Золото;2.08;16,5;0;585;obruchalnye;1188.57
П7412-001К14;Золото;2.08;16,5;0;585;obruchalnye;1188.57
П7412-001К14;Золото;2.08;17,5;0;585;obruchalnye;1188.57
П7412-001К14;Золото;2.08;17,5;0;585;obruchalnye;1188.57
П7412-001К14;Золото;2.09;16,5;0;585;obruchalnye;1194.29
П7412-001К14;Золото;2.09;16,5;0;585;obruchalnye;1194.29
П7412-001К14;Золото;2.09;18;0;585;obruchalnye;1194.29
П7412-001К14;Золото;2.12;16,5;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;16,5;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;17,5;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;17,5;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;18;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;18;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.12;18;0;585;obruchalnye;1211.43
П7412-001К14;Золото;2.15;18;0;585;obruchalnye;1228.57
П7412-001К14;Золото;2.15;18;0;585;obruchalnye;1228.57
П7412-001К14;Золото;2.15;18;0;585;obruchalnye;1228.57
П7412-001К14;Золото;2.15;18;0;585;obruchalnye;1228.57
П7412-001К14;Золото;2.17;18;0;585;obruchalnye;1240
П7412-001К14;Золото;2.17;18;0;585;obruchalnye;1240
П7412-001К14;Золото;2.17;18;0;585;obruchalnye;1240
П7412-001К14;Золото;2.17;18;0;585;obruchalnye;1240
П7412-001К14;Золото;2.26;18,5;0;585;obruchalnye;1291.43
